#Three randomly selected array elements in order
#The first line for INSERTION-SORT and the second for MERGE-SORT.

#[i]   A[i]   [j]    A[j]   [k]    A[k]
  
1      25     3      44     8      77     
2      25     5      60     7      69     

0      11     6      65     12     109    
4      31     8      66     15     120    

3      51     14     160    22     224    
1      16     19     198    23     224    

2      14     23     188    27     233    
12     80     25     193    36     327    

5      69     20     187    37     355    
1      13     27     230    39     365    

12     150    36     406    52     542    
15     153    26     281    51     539    

21     257    34     359    67     678    
21     234    31     330    64     635    

13     159    35     445    57     647    
10     116    31     381    52     560    

7      84     56     594    71     779    
1      15     37     382    80     832    

17     215    64     656    74     740    
18     215    56     600    77     768    

12     152    58     579    85     858    
18     190    57     563    89     871    

4      81     55     501    103    1050   
2      64     70     610    106    1082   

7      42     76     734    116    1210   
19     160    77     734    117    1210   

2      37     74     751    112    1158   
23     244    61     648    126    1315   

23     181    58     388    101    942    
11     63     50     324    102    942    

45     457    66     674    126    1249   
14     93     99     987    150    1482   

9      116    64     716    164    1616   
29     289    92     1010   137    1353   

43     310    94     745    123    1141   
53     393    63     488    134    1262   

28     290    70     728    141    1429   
23     204    121    1233   171    1685   

19     190    72     825    160    1642   
32     332    117    1255   157    1576   


#n		IS_t		IS_O		MS_t		MS_O

10		35		34.8571		76		10.3726
20		41		139.429		31		26.9901
30		17		313.714		30		45.9648
40		18		557.714		32		66.4701
50		18		871.429		33		88.1137
60		21		1254.86		35		110.664
70		21		1708		37		133.969
80		25		2230.86		39		157.92
90		26		2823.43		41		182.435
100		29		3485.71		43		207.452
110		32		4217.71		45		232.92
120		35		5019.43		48		258.798
130		38		5890.86		50		285.052
140		42		6832		52		311.653
150		44		7842.86		54		338.576
160		50		8923.43		55		365.799
170		54		10073.7		58		393.304
180		55		11293.7		60		421.075
190		62		12583.4		62		449.095
200		69		13942.9		65		477.353
